name,address,business_status,latitude,longitude,coordonnees_gps,temp
Tennis-Club de Bievre,"68 Rue d'Houdrémont, Bièvre",OPERATIONAL,5.0045432,49.9399467,"49.9399467,5.0045432",5.0045432
padelexpert,"Am Stadion 1, Trier",OPERATIONAL,6.6506601,49.76882,"49.76882,6.6506601",6.6506601
LE TREPORT AS,"Parc Ste Croix, Friville-Escarbotin",OPERATIONAL,1.405058,50.05257400000001,"50.05257400000001,1.405058",1.405058
SAINT VALERY TENNIS CLUB,"Rte d'Eu, Saint-Valery-sur-Somme",OPERATIONAL,1.609788,50.183307,"50.183307,1.609788",1.609788
FLIXECOURT TENNIS CLUB,"Rue Philippe Ermenault, Flixecourt",OPERATIONAL,2.075931,50.013805,"50.013805,2.075931",2.075931
Athletic Club Cambrésien Tennis,"530 Rue Bertrand Milcent, Cambrai",OPERATIONAL,3.2225263,50.169815,"50.169815,3.2225263",3.2225263
Sivry Rance Padel Club,Sivry-Rance,OPERATIONAL,4.1818088,50.1689128,"50.1689128,4.1818088",4.1818088
Viking Tennis Padel Club Chimay,"Av. du Châlon 1, Chimay",OPERATIONAL,4.3269812,50.0490596,"50.0490596,4.3269812",4.3269812
Roch4Padel Club,"Rue du Grès 22, Rochefort",OPERATIONAL,5.1996744,50.1760733,"50.1760733,5.1996744",5.1996744
Cercle de Tennis.,"Rue de Harzé 999, La Roche-en-Ardenne",OPERATIONAL,5.576514,50.1899204,"50.1899204,5.576514",5.576514
Houffalize Sports Center,"Cour-de-l'Abbaye 15, Houffalize",OPERATIONAL,5.7880718,50.1341764,"50.1341764,5.7880718",5.7880718
Tennis & Padel Academy Wiesbaden,"Dotzheimer Str. 170, Wiesbaden",OPERATIONAL,8.2120342,50.0764539,"50.0764539,8.2120342",8.2120342
Корт для тенниса,"Kastanienallee 2, Rüdesheim am Rhein",OPERATIONAL,7.935469299999999,49.9773442,"49.9773442,7.935469299999999",7.935469299999999
Padel-Tennis Wiesbaden e.V.,"Rheingaustraße 107, Wiesbaden",CLOSED_TEMPORARILY,8.223181,50.0396489,"50.0396489,8.223181",8.223181
Tennis and Ski Club Mainz,"Ebersheimer Weg 32, Mainz",OPERATIONAL,8.2768594,49.9855876,"49.9855876,8.2768594",8.2768594
Padel Wallau,"Nassaustraße 32, Hofheim am Taunus",OPERATIONAL,8.383490499999999,50.07046800000001,"50.07046800000001,8.383490499999999",8.383490499999999
MultiSports Wallau,"Nassaustraße 32, Hofheim am Taunus",OPERATIONAL,8.3836899,50.0703406,"50.0703406,8.3836899",8.3836899
Racket Tec,"25 New Green St, Ivybridge",OPERATIONAL,-3.9081235,50.3854006,"50.3854006,-3.9081235",-3.9081235
Loddiswell Tennis Courts,"Loddiswell, Kingsbridge",OPERATIONAL,-3.7994418,50.3231403,"50.3231403,-3.7994418",-3.7994418
Padel City,"ZA Champs Sainte Marie, Marconne",OPERATIONAL,2.0316647,50.3649123,"50.3649123,2.0316647",2.0316647
Paddle,Douai,OPERATIONAL,3.0927613,50.38449079999999,"50.38449079999999,3.0927613",3.0927613
Extreme Tennis,"50 rue Simone de Beauvoir Cellule 5, Sin-le-Noble",OPERATIONAL,3.1135454,50.34943020000001,"50.34943020000001,3.1135454",3.1135454
4PADEL Valenciennes,"60 Rue Michel Chasles, Petite-Forêt",OPERATIONAL,3.4717584,50.3825187,"50.3825187,3.4717584",3.4717584
LE FIVE Valenciennes,"60 Rue Michel Chasles, Petite-Forêt",OPERATIONAL,3.4713322,50.3821465,"50.3821465,3.4713322",3.4713322
Tennis Squash Badminton Padel Valenciennes,"4 Rue de l'Oiseau-Blanc, Valenciennes",OPERATIONAL,3.5291238,50.3486244,"50.3486244,3.5291238",3.5291238
Tennis & Padel Club de Quiévrain,"Chem. des Manages 999/Z, Administration communale de Quiévrain",OPERATIONAL,3.6785872,50.40284880000001,"50.40284880000001,3.6785872",3.6785872
Tsbv,Valenciennes,OPERATIONAL,3.529759,50.3483077,"50.3483077,3.529759",3.529759
Padel club Gozée,"Rue Émile Vandervelde 40, Thuin",OPERATIONAL,4.3514127,50.3441215,"50.3441215,4.3514127",4.3514127
Acacias Club | Tennis & Padel,"Rue des Acacias 43B, Montigny-le-Tilleul",OPERATIONAL,4.3565001,50.369606,"50.369606,4.3565001",4.3565001
Padel des papillons,"Rue de l'Industrie 52, Binche",OPERATIONAL,4.1914877,50.4278129,"50.4278129,4.1914877",4.1914877
GARRINCHA Charleroi | Foot & Padel,"Chau. de Bruxelles 82, Charleroi",OPERATIONAL,4.438369799999999,50.416013,"50.416013,4.438369799999999",4.438369799999999
Pad'hall,"Rue de Marchienne 117, Thuin",OPERATIONAL,4.3602339,50.3434531,"50.3434531,4.3602339",4.3602339
Sports 7 - Tennis & Padel,"Av. de Philippeville 127, Charleroi",OPERATIONAL,4.453227,50.399752,"50.399752,4.453227",4.453227
Tennis Indoors Mettet,"Rue Saint-Donat 15, Mettet",OPERATIONAL,4.658893,50.30463899999999,"50.30463899999999,4.658893",4.658893
Mokko Padel Project,"Rue de la Glacerie 11, Floreffe",OPERATIONAL,4.7391006,50.43498599999999,"50.43498599999999,4.7391006",4.7391006
Ciney Padel Club,"Quai de l'Industrie 29, Ciney",OPERATIONAL,5.0917295,50.2943858,"50.2943858,5.0917295",5.0917295
PADEL MARCHE,"Chau. de l'Ourthe 72, Marche-en-Famenne",OPERATIONAL,5.348156599999999,50.23175759999999,"50.23175759999999,5.348156599999999",5.348156599999999
Padel Durbuy,"Rue du Gibet 50, Durbuy",OPERATIONAL,5.4548479,50.34443659999999,"50.34443659999999,5.4548479",5.4548479
Centre Tennistique Pierre de Coubertin | Tennis & Padel,"Rond Point des Sports - Avenue de l'hipodromme, Le Touquet-Paris-Plage",OPERATIONAL,1.5967405,50.5192261,"50.5192261,1.5967405",1.5967405
The Tennis Shop,"Hall Du Tennis-Club, Av. de l'Hippodrome, Le Touquet-Paris-Plage",OPERATIONAL,1.5962307,50.5190658,"50.5190658,1.5962307",1.5962307
AS ETAPLES TC,"Centre sportif Jean Bigot, Étaples",OPERATIONAL,1.6501345,50.5224494,"50.5224494,1.6501345",1.6501345
ES ISBERGUES,"Rte de la Victoire, Isbergues",OPERATIONAL,2.466908,50.61851900000001,"50.61851900000001,2.466908",2.466908
Tennis Club,"0 Rue du Mont Saint-Eloi, Calonne-Ricouart",OPERATIONAL,2.4986645,50.4926741,"50.4926741,2.4986645",2.4986645
Le S'match,"435 Rue Christophe Colomb, Bruay-la-Buissière",OPERATIONAL,2.5752496,50.4972372,"50.4972372,2.5752496",2.5752496
AT BETHUNE,"Av. Fleming, Béthune",OPERATIONAL,2.648083,50.542683,"50.542683,2.648083",2.648083
Salle de tennis et squash Robert Lary,Calonne-Ricouart,OPERATIONAL,2.4981624,50.4922858,"50.4922858,2.4981624",2.4981624
Padel Campus Arena,"415 Rue d'Athènes, Billy-Berclau",OPERATIONAL,2.8513165,50.5162924,"50.5162924,2.8513165",2.8513165
"Anybuddy, réserve un terrain de sport à la carte, à la cool !","165 Av. de Bretagne, Lille",OPERATIONAL,3.0213156,50.6327114,"50.6327114,3.0213156",3.0213156
Le Shaft - club de padel et de badminton,"4 Rue Professeur Langevin, Lille",OPERATIONAL,3.0844275,50.61703809999999,"50.61703809999999,3.0844275",3.0844275
ToPadel,"171 Rue Carnot Premier étage, Faches-Thumesnil",OPERATIONAL,3.0676205,50.6025775,"50.6025775,3.0676205",3.0676205
