Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
01446;Villeneuve;1562;524;831;193;53.7
01447;Villereversure;1345;366;660;316;49.2
01448;Villes;394;108;220;61;56.6
01449;Villette-sur-Ain;760;244;421;94;55.4
01450;Villieu-Loyes-Mollon;3755;1226;1980;511;53.3
01451;Viriat;6665;1967;3357;1271;50.9
01452;Virieu-le-Grand;1127;337;595;200;52.6
01453;Arvière-en-Valromey;712;160;392;158;55.2
01454;Virignin;1118;364;595;153;53.5
01456;Vongnes;71;14;30;27;42.3
01457;Vonnas;3198;998;1482;702;46.6
02001;Abbécourt;505;152;271;79;54.1
02002;Achery;602;192;299;119;49
02003;Acy;1019;288;526;206;51.5
02004;Agnicourt-et-Séchelles;185;47;95;39;52.4
02005;Aguilcourt;382;111;212;58;55.7
02006;Aisonville-et-Bernoville;260;60;146;56;55.7
02007;Aizelles;120;32;62;27;51.2
02008;Aizy-Jouy;299;105;158;31;53.9
02009;Alaincourt;531;171;253;110;47.3
02010;Allemant;171;58;95;21;54.8
02011;Ambleny;1159;326;577;235;50.7
02012;Ambrief;73;19;45;7;63.4
02013;Amifontaine;390;115;211;60;54.7
02014;Amigny-Rouy;721;215;377;137;51.8
02015;Ancienville;74;19;42;11;57.9
02016;Andelain;215;72;111;33;51.4
02017;Anguilcourt-le-Sart;308;112;167;43;51.8
02018;Anizy-le-Grand;2587;788;1251;535;48.6
02019;Annois;359;100;178;84;49.3
02020;Any-Martin-Rieux;455;129;217;109;47.7
02021;Archon;82;23;42;19;50.6
02022;Arcy-Sainte-Restitue;401;110;216;77;53.7
02023;Armentières-sur-Ourcq;101;25;62;15;60.8
02024;Arrancy;49;13;22;15;43.4
02025;Artemps;367;109;197;61;53.7
02027;Assis-sur-Serre;210;54;113;47;52.8
02028;Athies-sous-Laon;2597;758;1333;515;51.2
02029;Attilly;351;93;193;68;54.5
02030;Aubencheul-aux-Bois;254;65;125;68;48.6
02031;Aubenton;659;193;328;140;49.6
02032;Aubigny-aux-Kaisnes;254;83;138;32;54.5
02033;Aubigny-en-Laonnois;102;26;61;17;59
02034;Audignicourt;122;42;68;11;55.9
02035;Audigny;283;105;137;38;48.9
02036;Augy;70;18;41;13;56.9
02037;Aulnois-sous-Laon;1380;439;688;259;49.6
02038;Les Autels;60;14;23;21;39.7
02039;Autremencourt;174;70;79;24;45.7
02040;Autreppes;176;59;89;32;49.4
02041;Autreville;815;218;405;184;50.2
02042;Azy-sur-Marne;379;103;204;78;53
02043;Bagneux;64;16;38;11;58.5
02044;Bancigny;24;8;11;5;45.8
02046;Barenton-Bugny;557;153;304;100;54.5
02047;Barenton-Cel;108;27;63;18;58.1
02048;Barenton-sur-Serre;131;41;72;20;53.8
02049;Barisis-aux-Bois;740;198;370;171;50
02050;Barzy-en-Thiérache;320;102;156;65;48.4
02051;Barzy-sur-Marne;391;100;195;96;49.9
02052;Bassoles-Aulers;132;39;69;27;51.5
02053;Vallées en Champagne;573;156;293;122;51.2
02054;Bazoches-et-Saint-Thibaut;532;166;280;97;51.6
02055;Beaumé;87;16;42;31;47.2
02056;Beaumont-en-Beine;180;60;93;26;52
02057;Beaurevoir;1411;417;669;320;47.6
02058;Beaurieux;851;299;435;122;50.8
02059;Beautor;2718;844;1327;543;48.9
02060;Beauvois-en-Vermandois;255;64;138;56;53.5
02061;Becquigny;245;88;127;31;51.6
02062;Belleau;136;44;75;18;54.4
02063;Bellenglise;379;112;194;71;51.4
02064;Belleu;3762;926;1812;1094;47.3
02065;Bellicourt;587;191;308;101;51.3
02066;Benay;193;52;108;36;55.1
02067;Bergues-sur-Sambre;209;55;109;46;51.7
02068;Berlancourt;85;26;42;20;47.7
02069;Berlise;105;31;45;28;43
02070;Bernot;441;135;225;85;50.6
02071;Berny-Rivière;650;198;349;111;53
02072;Berrieux;183;54;106;26;56.8
02073;Berry-au-Bac;687;197;376;97;56.1
02074;Bertaucourt-Epourdon;592;190;305;98;51.4
02075;Berthenicourt;194;48;111;36;57.1
02076;Bertricourt;153;52;89;12;58.3
02077;Berzy-le-Sec;380;100;209;70;55.1
02078;Besmé;164;63;78;23;47.6
02079;Besmont;147;34;74;41;49.3
02080;Besny-et-Loizy;327;80;187;66;56.2
02081;Béthancourt-en-Vaux;432;135;231;68;53.2
02082;Beugneux;110;33;59;18;54.1
