Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
200040095;CC Isle Vern Salembre en Périgord;18812;4559;9140;5137;48.5
200040111;CC Cœur de Chartreuse;17067;4741;8821;3490;51.7
200040137;CC des Lacs de Champagne;9195;2250;4605;2441;49.5
200040178;CC de l'Outre-Forêt;16184;4209;8966;3015;55.4
200040202;CC Provence Verdon;22485;5800;10990;5478;49.4
200040210;CC Lacs et Gorges du Verdon;9144;1893;4389;2886;47.9
200040244;CA du Bocage Bressuirais;74029;21553;36239;16152;49
200040251;CC Bassée-Montois;23169;6740;12036;4453;51.8
200040277;CA Agglo du Pays de Dreux;115145;36758;57323;20835;49.9
200040293;CC du Clunisois;13926;3475;6454;4017;46.3
200040350;CC Bugey Sud;34106;9324;17109;7624;50.2
200040384;CC Isle Double Landais;12356;2778;5720;3704;46.9
200040392;CA Le Grand Périgueux;103583;27365;51523;25081;49.6
200040400;CC du Périgord Ribéracois;19447;4090;9256;6173;47.4
200040418;CC du Pays de Serres en Quercy;8407;1754;3986;2670;47.4
200040426;CC du Val de l'Oise;15897;4375;8175;3412;51.2
200040442;CA Luberon Monts de Vaucluse;54777;14704;27525;12805;50
200040459;CA Montélimar Agglomération;67708;19609;33949;13962;50.3
200040475;CC Loué - Brûlon - Noyen;18095;5601;9129;3472;50.2
200040491;CC Porte de Drômardèche;47646;14553;23300;9582;49.1
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;15961;4222;7759;3883;48.9
200040558;CC Écueillé-Valençay;10968;2129;4927;3960;44.7
200040566;CA de l'Ouest Rhodanien;50651;14669;24749;11182;48.9
200040574;CC Beaujolais Pierres Dorées;54358;16515;27216;9839;50.8
200040590;CA Villefranche Beaujolais Saône;72707;22950;35922;13943;49.3
200040624;CC Pays d'Apt-Luberon;28939;6870;13981;8270;48
200040657;CC de la Matheysine;18902;4892;9557;4437;50.6
200040681;CC Enclave des Papes-Pays de Grignan;22780;5649;11165;5988;49
200040715;Grenoble-Alpes-Métropole;448457;149162;217076;80374;48.6
200040764;CC du Sud Corse;20708;5243;11069;4176;54
200040772;CC du Perche et Haut Vendômois;9183;2403;4414;2402;47.9
200040798;CC Val Vanoise;9090;2317;5156;1675;56.4
200040814;CC Briance Sud Haute Vienne;9138;2276;4635;2214;50.8
200040830;CC du Pays de Fénelon;9654;2054;4802;2751;50
200040889;CC de Portes Sud Périgord;8448;1764;3930;2723;46.7
200040905;CC Carmausin-Ségala;29863;7024;14330;8383;48.2
200040947;CC de Flandre Intérieure;102688;30834;52707;19218;51.3
200040954;CC des Hauts de Flandre;53616;16285;27571;9722;51.5
200041010;CC Cœur de Savoie;37495;10860;19439;7037;52.1
200041051;CC Vallée de la Dordogne et Forêt Bessède;8942;1887;4221;2870;47
200041150;CC Terrassonnais Haut Périgord Noir;22134;5199;10815;6247;48.6
200041168;CC de la Vallée de l'Homme;15725;3012;7526;5098;48.1
200041283;CC de la Plaine du Rhin;18430;4352;10752;3329;58.3
200041317;CA du Niortais;121754;33591;61724;26327;50.7
200041325;CC du Pays Rhénan;36926;9630;20149;7059;54.7
200041333;CC de Parthenay-Gâtine;37038;9133;17649;10335;47.5
200041366;CC Rhône Crussol;34193;8920;16886;8084;49.8
200041416;CC Airvaudais-Val du Thouet;6880;1564;3335;1977;48.5
200041440;CC de Domme-Villefranche du Périgord;8487;1663;4041;2818;47.4
200041465;CC Val Eyrieux;12396;2570;6197;3702;49.7
200041499;CC Aunis Atlantique;31184;9364;15931;5388;51.9
200041507;CA La Riviera du Levant;64939;17995;33741;12012;52.9
200041515;CC du Bassin de Pont-à-Mousson;40343;11997;20997;7571;51.8
200041523;CC de la Haute Saintonge;68390;16481;33014;18753;48.4
200041556;CC Portes de la Creuse en Marche;6597;1242;3134;2245;47.3
200041572;CC Dronne et Belle;11270;2291;5385;3546;48
200041614;CC Aunis Sud;32567;9145;16287;6730;50.6
200041622;CC Ardennes Thiérache;9630;2801;4843;2039;50
200041630;CA Ardenne Métropole;121184;33936;61382;25842;50.7
200041689;CC Vals de Saintonge Communauté;51994;12164;24890;14945;47.9
200041721;CC de la Haute Comté;17140;4280;8654;4401;49.9
200041762;CA Rochefort Océan;63968;16321;31337;15822;49.4
200041788;CA du Pays Nord Martinique;96187;25794;49897;21891;51.1
200041853;CC du Pays de Montbozon et du Chanois;6593;1918;3291;1372;50
200041861;CC du Triangle Vert;11041;3114;5818;2134;52.6
