name,address,business_status,latitude,longitude
+Padel,"Calle Condado de Treviño, 67 naves 34-35, Burgos",OPERATIONAL,42.3722134,-3.7222659
Padel Six Burgos,"Pol. Ind. Taglosa, naves Taglosa, 2-A, Burgos",OPERATIONAL,42.357268,-3.65027
BURPADEL,"Km 243, Naves Taglosa, nº 1, Ctra. Madrid-Irún, Burgos",OPERATIONAL,42.3569227,-3.6496884
Blues padel,"C. Condado de Treviño, 40, Burgos",OPERATIONAL,42.3723446,-3.7139503
Pista de pádel de Arroyal,Alfoz de Quintanadueñas,OPERATIONAL,42.4101711,-3.7449391
Pista de Padel Quintanaortuño,"Diseminado Diseminados, 1, Quintanaortuño",OPERATIONAL,42.4538461,-3.6860105
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,42.3004506,-3.739499699999999
Pista de pádel Villalbilla,"Urb. San Roque, 32, Villalbilla de Burgos",OPERATIONAL,42.3443891,-3.7772299
Club El Soto,"Est. Logroño-Vigo, Km 105, Burgos",OPERATIONAL,42.3413848,-3.6313621
Club de Tenis de Burgos,"Pje. Fuentes Blancas, Burgos",OPERATIONAL,42.3357519,-3.6401227
Pistas de Padel,Logroño,OPERATIONAL,42.438278,-2.496934
Club de Padel la Grajera,"Camino del pantano de la Grajera, s/n, Logroño",CLOSED_TEMPORARILY,42.449416,-2.5049607
Campo de Golf Logroño,"Carretera Burgos Km 2 Parque de La Grajera, Logroño",OPERATIONAL,42.4383142,-2.4970774
Club Deportivo Cenicero,"Av. Olímpica, 25, Cenicero",OPERATIONAL,42.4821897,-2.6339513
Padel La Ribera,"P.º del Prior, 6, Logroño",OPERATIONAL,42.4703796,-2.4348664
Alos pádel indoor,"Polígono Industrial Cantabria, C. Majuelo, 4, Logroño",OPERATIONAL,42.4756605,-2.4091597
Padel & Gym,"NA-134, Viana",OPERATIONAL,42.4763789,-2.3951013
Pistas de Padel,Logroño,OPERATIONAL,42.4762193,-2.4584665
Pistas de Padel,Logroño,OPERATIONAL,42.438278,-2.496934
Club De Tenis & Padel,"C/ Rosa Chacel, Logroño",OPERATIONAL,42.4626635,-2.4708439
Pista de pádel,"Polideportivo Universitario, P.º del Prior, 107, Logroño",OPERATIONAL,42.4675081,-2.4217072
Pistas de pádel cubiertas,Logroño,OPERATIONAL,42.4653656,-2.4249086
Club de Padel la Grajera,"Camino del pantano de la Grajera, s/n, Logroño",CLOSED_TEMPORARILY,42.449416,-2.5049607
Polideportivo Municipal Arrúbal,"Cam. el Soto, Arrúbal",OPERATIONAL,42.4310157,-2.2496508
Campo de Golf Logroño,"Carretera Burgos Km 2 Parque de La Grajera, Logroño",OPERATIONAL,42.4383142,-2.4970774
Centro Deportivo Sociocultural Militar 'Hípica de Logroño',"Av. de la Playa, 4, Logroño",OPERATIONAL,42.47247309999999,-2.4552249
Piscina Las Norias Logroño,"Complejo Deportivo Municipal Las Norias, Camino de las Norias, s/n, Logroño",OPERATIONAL,42.4749214,-2.4567344
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,42.3206131,-2.0924985
Azento Padel,"C. Bodegas el Cortijo, 60, Logroño",CLOSED_TEMPORARILY,42.3493196,-2.2361254
Pista Padel,"Colegio Público San Miguel, Ctra. Balsa, 54, Larraga",OPERATIONAL,42.5592254,-1.8563867
Inpadel,"C. San Lázaro, 45, Calahorra",OPERATIONAL,42.2920494,-1.9448715
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,42.3206131,-2.0924985
Pistas de padel.,Funes,CLOSED_TEMPORARILY,42.3182045,-1.8019486
Frontón de Carcar,"C. la Paz, 24, Cárcar",OPERATIONAL,42.3961631,-1.9825222
Pista Padel,"Colegio Público San Miguel, Ctra. Balsa, 54, Larraga",OPERATIONAL,42.5592254,-1.8563867
Tafallako Igerilekuak,"C. Ábaco, 54, Tafalla",OPERATIONAL,42.5213356,-1.679316
